agent,episode,test_link,ttr_steps,sla_violations,total_reward,avg_latency,avg_bandwidth
baseline,0,r3-r4,200.0,200,59.4117,46.03,722.06
baseline,1,r1-r4,200.0,200,57.5231,48.2,710.08
baseline,2,r3-r4,200.0,200,59.9859,45.45,724.61
baseline,3,r1-r4,200.0,200,56.9904,48.94,706.34
baseline,4,r3-r4,200.0,200,59.8376,45.43,723.58
baseline,5,r1-r4,200.0,200,57.0195,48.85,706.38
baseline,6,r3-r4,200.0,200,59.9579,45.41,724.99
baseline,7,r1-r4,200.0,200,57.1304,48.69,707.49
baseline,8,r3-r4,200.0,200,60.1123,45.31,725.34
baseline,9,r1-r4,200.0,200,57.2409,48.58,707.53
baseline,10,r3-r4,200.0,200,60.1302,45.22,726.89
baseline,11,r1-r4,200.0,200,57.2345,48.61,707.97
baseline,12,r3-r4,200.0,200,59.3287,46.12,721.01
baseline,13,r1-r4,200.0,200,57.3714,48.62,707.8
baseline,14,r3-r4,200.0,200,59.8721,45.57,723.84
baseline,15,r1-r4,200.0,200,56.2649,49.79,700.49
baseline,16,r3-r4,200.0,200,60.0394,45.2,725.22
baseline,17,r1-r4,200.0,200,56.5111,49.5,703.16
baseline,18,r3-r4,200.0,200,60.4402,44.9,727.44
baseline,19,r1-r4,200.0,200,56.8736,49.04,705.76
baseline,20,r3-r4,200.0,200,59.4232,46.03,721.73
baseline,21,r1-r4,200.0,200,56.3595,49.64,703.16
baseline,22,r3-r4,200.0,200,59.4386,46.07,721.13
baseline,23,r1-r4,200.0,200,57.5341,48.11,710.51
baseline,24,r3-r4,200.0,200,60.1549,45.27,725.4
baseline,25,r1-r4,200.0,200,56.9279,48.96,705.87
baseline,26,r3-r4,200.0,200,60.4928,44.76,727.73
baseline,27,r1-r4,200.0,200,56.8209,49.08,705.12
baseline,28,r3-r4,200.0,200,60.3366,44.91,727.82
baseline,29,r1-r4,200.0,200,57.5371,48.28,709.67
baseline,30,r3-r4,200.0,200,59.6201,45.74,723.03
baseline,31,r1-r4,200.0,200,57.162,48.7,706.96
baseline,32,r3-r4,200.0,200,60.3729,44.88,727.72
baseline,33,r1-r4,200.0,200,56.9133,48.96,706.19
baseline,34,r3-r4,200.0,200,60.7688,44.46,729.82
baseline,35,r1-r4,200.0,200,56.9647,48.84,706.34
baseline,36,r3-r4,200.0,200,60.0136,45.42,725.42
baseline,37,r1-r4,200.0,200,56.9285,48.94,706.31
baseline,38,r3-r4,200.0,200,59.8159,45.54,723.41
baseline,39,r1-r4,200.0,200,57.4779,48.18,709.65
baseline,40,r3-r4,200.0,200,60.2381,44.97,727.27
baseline,41,r1-r4,200.0,200,56.6721,49.17,705.11
baseline,42,r3-r4,200.0,200,60.6368,44.52,729.58
baseline,43,r1-r4,200.0,200,58.1639,47.62,713.2
baseline,44,r3-r4,200.0,200,60.1568,45.27,725.54
baseline,45,r1-r4,200.0,200,56.8632,49.03,705.57
baseline,46,r3-r4,200.0,200,60.1423,45.1,725.98
baseline,47,r1-r4,200.0,200,57.3268,48.43,708.19
baseline,48,r3-r4,200.0,200,59.8878,45.43,724.97
baseline,49,r1-r4,200.0,200,56.5035,49.46,703.58
