agent,episode,test_link,ttr_steps,sla_violations,total_reward,avg_latency,avg_bandwidth
fewshot,0,r3-r4,3.5,7,122.1994,22.04,849.5
fewshot,1,r1-r4,200.0,200,59.3676,46.02,721.64
fewshot,2,r3-r4,4.0,4,122.407,22.23,847.91
fewshot,3,r1-r4,200.0,200,58.7401,46.85,717.42
fewshot,4,r3-r4,4.0,4,122.6095,22.02,847.93
fewshot,5,r1-r4,200.0,200,58.9992,46.5,718.84
fewshot,6,r3-r4,3.0,3,122.825,21.96,849.52
fewshot,7,r1-r4,200.0,200,58.7135,46.81,717.48
fewshot,8,r3-r4,3.0,3,122.654,22.31,847.51
fewshot,9,r1-r4,200.0,200,58.978,46.52,718.5
fewshot,10,r3-r4,4.0,4,123.2292,21.99,850.29
fewshot,11,r1-r4,200.0,200,59.3157,46.14,721.06
fewshot,12,r3-r4,3.0,3,121.7833,23.04,843.61
fewshot,13,r1-r4,200.0,200,59.1415,46.52,718.94
fewshot,14,r3-r4,4.0,4,122.8348,22.18,848.08
fewshot,15,r1-r4,200.0,200,58.038,47.66,711.77
fewshot,16,r3-r4,4.0,4,122.7197,21.97,848.59
fewshot,17,r1-r4,200.0,200,58.3311,47.32,714.73
fewshot,18,r3-r4,2.0,6,122.6615,21.84,849.91
fewshot,19,r1-r4,200.0,200,58.5579,47.03,716.42
fewshot,20,r3-r4,4.0,4,121.6596,22.82,844.99
fewshot,21,r1-r4,200.0,200,58.26,47.36,715.28
fewshot,22,r3-r4,5.0,5,122.0283,22.68,845.37
fewshot,23,r1-r4,200.0,200,59.2455,46.09,721.26
fewshot,24,r3-r4,4.0,4,122.9798,21.77,850.2
fewshot,25,r1-r4,200.0,200,58.688,46.86,717.02
fewshot,26,r3-r4,3.0,3,123.3188,21.38,851.86
fewshot,27,r1-r4,200.0,200,58.745,46.79,717.28
fewshot,28,r3-r4,5.0,5,123.4674,21.37,852.83
fewshot,29,r1-r4,200.0,200,59.1852,46.32,720.05
fewshot,30,r3-r4,3.0,6,121.6991,22.53,846.33
fewshot,31,r1-r4,200.0,200,58.7699,46.79,717.11
fewshot,32,r3-r4,4.0,4,123.2287,21.58,851.46
fewshot,33,r1-r4,200.0,200,58.6619,46.87,717.28
fewshot,34,r3-r4,4.0,4,123.3697,21.37,852.46
fewshot,35,r1-r4,200.0,200,58.8823,46.56,718.43
fewshot,36,r3-r4,6.0,6,122.0024,22.56,846.78
fewshot,37,r1-r4,200.0,200,58.7955,46.71,718.13
fewshot,38,r3-r4,4.0,4,121.9526,22.81,844.1
fewshot,39,r1-r4,200.0,200,59.3705,45.95,721.52
fewshot,40,r3-r4,3.0,3,123.2214,21.69,850.89
fewshot,41,r1-r4,200.0,200,58.5518,46.93,717.04
fewshot,42,r3-r4,5.0,5,122.9084,21.64,851.07
fewshot,43,r1-r4,200.0,200,59.9561,45.51,724.35
fewshot,44,r3-r4,5.0,5,123.8403,21.28,852.96
fewshot,45,r1-r4,200.0,200,58.7733,46.76,717.64
fewshot,46,r3-r4,4.0,4,124.0039,20.93,854.35
fewshot,47,r1-r4,200.0,200,58.8615,46.6,717.9
fewshot,48,r3-r4,3.0,3,122.7865,22.27,847.97
fewshot,49,r1-r4,200.0,200,58.4492,47.13,715.92
